Layer,Name,GEOID,HCSDIAP_2016-2018,HCSDIAP_2016-2018_moe
,,,"Adult diabetes rate (% of adults), 2016-2018",(90% margin of error)
Community area,Rogers Park,1,11.2,4.741964285345
Community area,Norwood Park,10,9.3,4.8678571420850005
Community area,Jefferson Park,11,9.8,7.30178571395
Community area,North Park,13,17.3,10.994642856505001
Community area,Albany Park,14,12.1,6.00089285768
Community area,Portage Park,15,8.7,3.6928571425550003
Community area,Irving Park,16,9.7,3.9026785721
Community area,Dunning,17,8.2,5.03571428605
Community area,Belmont Cragin,19,10.9,4.99375000047
Community area,West Ridge,2,11.3,4.95178571489
Community area,Hermosa,20,8.2,5.7071428569750005
Community area,Avondale,21,12.1,6.1267857144199995
Community area,Logan Square,22,10.2,4.1544642855800005
Community area,Humboldt Park,23,12.8,5.749107142555
Community area,West Town,24,7.0,3.399107143495
Community area,Austin,25,12.4,3.31517857069
Community area,West Garfield Park,26,16.1,7.97321428652
Community area,East Garfield Park,27,10.9,5.833035713715
Community area,Near West Side,28,7.0,3.23124999953
Community area,North Lawndale,29,9.0,4.1125
Community area,Uptown,3,5.4,3.5669642858149997
Community area,South Lawndale,30,12.2,4.783928570925
Community area,Lower West Side,31,11.6,6.6723214286050005
Community area,Douglas,35,3.8,2.811607142085
Community area,Grand Boulevard,38,5.3,3.23124999953
Community area,Kenwood,39,4.9,3.18928571395
Community area,Lincoln Square,4,7.0,4.783928570925
Community area,Hyde Park,41,1.7,1.426785714655
Community area,Woodlawn,42,10.3,5.28749999953
Community area,South Shore,43,12.4,5.119642857210001
Community area,Chatham,44,12.9,5.03571428605
Community area,Avalon Park,45,12.0,8.35089285674
Community area,South Chicago,46,15.7,6.588392857445
Community area,Calumet Heights,48,15.6,7.637500000235
Community area,Roseland,49,17.0,5.7071428569750005
Community area,North Center,5,5.9,4.1125
Community area,Pullman,50,10.7,7.385714285110001
Community area,South Deering,51,19.7,9.651785714655
Community area,West Pullman,53,12.5,5.455357143495
Community area,Hegewisch,55,15.5,10.994642856505001
Community area,Garfield Ridge,56,18.5,8.14107142884
Community area,Brighton Park,58,11.1,5.791071428135
Community area,Lake View,6,6.6,3.18928571395
Community area,Bridgeport,60,9.8,5.03571428605
Community area,New City,61,14.5,6.00089285768
Community area,Gage Park,63,9.4,4.90982142931
Community area,Clearing,64,12.1,6.798214285345
Community area,West Lawn,65,13.0,8.308928571160001
Community area,Chicago Lawn,66,16.8,5.791071428135
Community area,West Englewood,67,12.1,5.32946428511
Community area,Englewood,68,12.4,5.413392857915
Community area,Greater Grand Crossing,69,12.0,4.616071428605
Community area,Lincoln Park,7,7.5,3.9026785721
Community area,Ashburn,70,7.2,3.27321428511
Community area,Auburn Gresham,71,14.0,4.8678571420850005
Community area,Beverly,72,7.2,3.608928571395
Community area,Washington Heights,73,9.2,4.825892856505
Community area,Morgan Park,75,13.2,8.0151785721
Community area,Edgewater,77,9.8,5.20357142837
Community area,Near North Side,8,4.1,2.433928571865
